---------- Uniform Rotations ----------
input: tanner
name   | rotation
fcokmf | [12,2,1,23,8,14]
brpwor | [8,17,2,9,10,26]
gukitl | [13,20,23,21,15,20]
okivtf | [21,10,21,8,15,14]
tlsbtk | [26,11,5,14,15,19]
qvoboy | [23,21,1,14,10,7]
fwcvcc | [12,22,15,8,24,11]
uqtnwo | [1,16,6,26,18,23]
jghodf | [16,6,20,1,25,14]
nudelz | [20,20,16,17,7,8]
delfhx | [10,4,24,18,3,6]
bonlwq | [8,14,26,24,18,25]
iecmkp | [15,4,15,25,6,24]
dbixwx | [10,1,21,10,18,6]
icgfwc | [15,2,19,18,18,11]
eudohd | [11,20,16,1,3,12]
rzkbrv | [24,25,23,14,13,4]
wsokgw | [3,18,1,23,2,5]
eapoux | [11,26,2,1,16,6]
neygxt | [20,4,11,19,19,2]
qzxuah | [23,25,10,7,22,16]
qnchix | [23,13,15,20,4,6]
pzzbbr | [22,25,12,14,23,26]
jvccdd | [16,21,15,15,25,12]
eeplor | [11,4,2,24,10,26]
nsaliu | [20,18,13,24,4,3]
chrhzz | [9,7,4,20,21,8]
kgnnyv | [17,6,26,26,20,4]
njxrnm | [20,9,10,4,9,21]
ccwdnn | [9,2,9,16,9,22]
cgziyl | [9,6,12,21,20,20]
lmkorn | [18,12,23,1,13,22]
ezdjbo | [11,25,16,22,23,23]
zgkacw | [6,6,23,13,24,5]
jrsfwh | [16,17,5,18,18,16]
jljqxx | [16,11,22,3,19,6]
pfqqcd | [22,5,3,3,24,12]
azrxmm | [7,25,4,10,8,21]
tszzuv | [26,18,12,12,16,4]
nkvnnk | [20,10,8,26,9,19]
ewcndj | [11,22,15,26,25,18]
drhwcs | [10,17,20,9,24,1]
nycoix | [20,24,15,1,4,6]
baphle | [8,26,2,20,7,13]
rmntzu | [24,12,26,6,21,3]
cxtjet | [9,23,6,22,26,2]
szvime | [25,25,8,21,8,13]
olubhb | [21,11,7,14,3,10]
vhzdcl | [2,7,12,16,24,20]
oxanoc | [21,23,13,26,10,11]
zicwrz | [6,8,15,9,13,8]
qdbtwb | [23,3,14,6,18,10]
lnxpen | [18,13,10,2,26,22]
nsuaep | [20,18,7,13,26,24]
cqadrm | [9,16,13,16,13,21]
yxubxc | [5,23,7,14,19,11]
znxnkp | [6,13,10,26,6,24]
fykqlg | [12,24,23,3,7,15]
ujkaal | [1,9,23,13,22,20]
fojxnt | [12,14,22,10,9,2]
owkier | [21,22,23,21,26,26]
fvxqgd | [12,21,10,3,2,12]
odacql | [21,3,13,15,12,20]
mvtrip | [19,21,6,4,4,24]
ovbvty | [21,21,14,8,15,7]
ebgmco | [11,1,19,25,24,23]
bevabl | [8,4,8,13,23,20]
ocokmq | [21,2,1,23,8,25]
mtcyko | [19,19,15,11,6,23]
badijx | [8,26,16,21,5,6]
uenqdw | [1,4,26,3,25,5]
hanucp | [14,26,26,7,24,24]
iealvc | [15,4,13,24,17,11]
ibdlnn | [15,1,16,24,9,22]
hueatq | [14,20,17,13,15,25]
vopcvq | [2,14,2,15,17,25]
mxpbvx | [19,23,2,14,17,6]
jmvjew | [16,12,8,22,26,5]
gbhhli | [13,1,20,20,7,17]
dbwfgk | [10,1,9,18,2,19]
axolaa | [7,23,1,24,22,9]
ijqxoa | [15,9,3,10,10,9]
skwayi | [25,10,9,13,20,17]
dffoav | [10,5,18,1,22,4]
gszsyv | [13,18,12,5,20,4]
iheata | [15,7,17,13,15,9]
pdzdbp | [22,3,12,16,23,24]
xdmerj | [4,3,25,17,13,18]
askazo | [7,18,23,13,21,23]
jsdypg | [16,18,16,11,11,15]
whlxxv | [3,7,24,10,19,4]
llprmn | [18,11,2,4,8,22]
zsxgll | [6,18,10,19,7,20]
qfvegy | [23,5,8,17,2,7]
qbbtjs | [23,1,14,6,5,1]
enpsrq | [11,13,2,5,13,25]
thjhsy | [26,7,22,20,14,7]
lufybu | [18,20,18,11,23,3]
oxhyfb | [21,23,20,11,1,10]
fkvwxx | [12,10,8,9,19,6]
vqoudv | [2,16,1,7,25,4]
nmxvuv | [20,12,10,8,16,4]
ivjqdc | [15,21,22,3,25,11]
klcymd | [17,11,15,11,8,12]
uzvvnn | [1,25,8,8,9,22]
wrvons | [3,17,8,1,9,1]
bdbrua | [8,3,14,4,16,9]
dzqzmm | [10,25,3,12,8,21]
ukbonm | [1,10,14,1,9,21]
xppjen | [4,15,2,22,26,22]
dfxjdw | [10,5,10,22,25,5]
nzmpyn | [20,25,25,2,20,22]
yyvjak | [5,24,8,22,22,19]
qwevvl | [23,22,17,8,17,20]
tzwqwq | [26,25,9,3,18,25]
lwzugn | [18,22,12,7,2,22]
euuvlu | [11,20,7,8,7,3]
vcfwno | [2,2,18,9,9,23]
vvtapk | [2,21,6,13,11,19]
soxrmf | [25,14,10,4,8,14]
etgdjh | [11,19,19,16,5,16]
fwwncx | [12,22,9,26,24,6]
ssvbdp | [25,18,8,14,25,24]
vkhccd | [2,10,20,15,24,12]
uynykk | [1,24,26,11,6,19]
dtlwza | [10,19,24,9,21,9]
yjabbm | [5,9,13,14,23,21]
lblowi | [18,1,24,1,18,17]
tkqeek | [26,10,3,17,26,19]
ozxzyj | [21,25,10,12,20,18]
fwivxs | [12,22,21,8,19,1]
zelywi | [6,4,24,11,18,17]
iplcrp | [15,15,24,15,13,24]
mkmnba | [19,10,25,26,23,9]
tfmiod | [26,5,25,21,10,12]
nwnzbz | [20,22,26,12,23,8]
ijrczr | [15,9,4,15,21,26]
ycscoy | [5,2,5,15,10,7]
xmzsuu | [4,12,12,5,16,3]
fyoynl | [12,24,1,11,9,20]
alwlao | [7,11,9,24,22,23]
krdnpo | [17,17,16,26,11,23]
hhkmth | [14,7,23,25,15,16]
iybwxs | [15,24,14,9,19,1]
huykkx | [14,20,11,23,6,6]
jvfqbk | [16,21,18,3,23,19]
buagnv | [8,20,13,19,9,4]
yeyfth | [5,4,11,18,15,16]
envjhf | [11,13,8,22,3,14]
mkejra | [19,10,17,22,13,9]
fdulpk | [12,3,7,24,11,19]
bcrdhn | [8,2,4,16,3,22]
mphivp | [19,15,20,21,17,24]
fngnqq | [12,13,19,26,12,25]
xawqge | [4,26,9,3,2,13]
sgdtom | [25,6,16,6,10,21]
ivpmyj | [15,21,2,25,20,18]
bwidqh | [8,22,21,16,12,16]
doexzn | [10,14,17,10,21,22]
vvmssk | [2,21,25,5,14,19]
jelrgj | [16,4,24,4,2,18]
aocckh | [7,14,15,15,6,16]
warlhh | [3,26,4,24,3,16]
lkltkr | [18,10,24,6,6,26]
mdbdak | [19,3,14,16,22,19]
zzdjnq | [6,25,16,22,9,25]
ctzvki | [9,19,12,8,6,17]
ikwhpp | [15,10,9,20,11,24]
rxiilx | [24,23,21,21,7,6]
jtfbud | [16,19,18,14,16,12]
kjdgfm | [17,9,16,19,1,21]
bjxera | [8,9,10,17,13,9]
qheirz | [23,7,17,21,13,8]
oyfqff | [21,24,18,3,1,14]
xzfkzm | [4,25,18,23,21,21]
xpdhhm | [4,15,16,20,3,21]
pwyhmr | [22,22,11,20,8,26]
iznkdh | [15,25,26,23,25,16]
clifgw | [9,11,21,18,2,5]
vdybjp | [2,3,11,14,5,24]
iyeyzz | [15,24,17,11,21,8]
dewvqq | [10,4,9,8,12,25]
lnrnvt | [18,13,4,26,17,2]
domnwf | [10,14,25,26,18,14]
epzzic | [11,15,12,12,4,11]
ilokpy | [15,11,1,23,11,7]
lzwrwi | [18,25,9,4,18,17]
bagmse | [8,26,19,25,14,13]
amziax | [7,12,12,21,22,6]
lnshof | [18,13,5,20,10,14]
ztjhjm | [6,19,22,20,5,21]
duavbt | [10,20,13,8,23,2]
ozklne | [21,25,23,24,9,13]
gphyzx | [13,15,20,11,21,6]
ycvtmh | [5,2,8,6,8,16]
uhgajb | [1,7,19,13,5,10]
pqmgrv | [22,16,25,19,13,4]
wnctih | [3,13,15,6,4,16]
izhelx | [15,25,20,17,7,6]
cygghl | [9,24,19,19,3,20]
zzskts | [6,25,5,23,15,1]
yccnjo | [5,2,15,26,5,23]
lusyhz | [18,20,5,11,3,8]
dxejix | [10,23,17,22,4,6]
