---------- Uniform Rotations ----------
input: tanner
name   | rotation
fjdfnx | [12,9,16,18,9,6]
quowwn | [23,20,1,9,18,22]
qrijhv | [23,17,21,22,3,4]
yoqdrm | [5,14,3,16,13,21]
midueg | [19,8,16,7,26,15]
perwti | [22,4,4,9,15,17]
xbdjje | [4,1,16,22,5,13]
sqalir | [25,16,13,24,4,26]
ukritf | [1,10,4,21,15,14]
zlqzvt | [6,11,3,12,17,2]
oufdmx | [21,20,18,16,8,6]
fgrscy | [12,6,4,5,24,7]
wwkvrz | [3,22,23,8,13,8]
robxcl | [24,14,14,10,24,20]
uguobh | [1,6,7,1,23,16]
ogjeur | [21,6,22,17,16,26]
sxxocd | [25,23,10,1,24,12]
bplqcp | [8,15,24,3,24,24]
rvwnen | [24,21,9,26,26,22]
owcpva | [21,22,15,2,17,9]
mcmdko | [19,2,25,16,6,23]
qekpge | [23,4,23,2,2,13]
zdaguc | [6,3,13,19,16,11]
awhdqo | [7,22,20,16,12,23]
glygir | [13,11,11,19,4,26]
waoohq | [3,26,1,1,3,25]
znbpgf | [6,13,14,2,2,14]
krglvy | [17,17,19,24,17,7]
djvoxi | [10,9,8,1,19,17]
fhexjo | [12,7,17,10,5,23]
crnzlu | [9,17,26,12,7,3]
uwpzxw | [1,22,2,12,19,5]
bdhjwc | [8,3,20,22,18,11]
xfknet | [4,5,23,26,26,2]
vafgpw | [2,26,18,19,11,5]
sbkgok | [25,1,23,19,10,19]
vjedbm | [2,9,17,16,23,21]
bnmxfp | [8,13,25,10,1,24]
skhhcv | [25,10,20,20,24,4]
ycwmhe | [5,2,9,25,3,13]
lbkazi | [18,1,23,13,21,17]
yizico | [5,8,12,21,24,23]
hibrxw | [14,8,14,4,19,5]
nzmrjh | [20,25,25,4,5,16]
hjoiie | [14,9,1,21,4,13]
jyutlq | [16,24,7,6,7,25]
ildbbe | [15,11,16,14,23,13]
ccochn | [9,2,1,15,3,22]
kkhwvg | [17,10,20,9,17,15]
ltnmdf | [18,19,26,25,25,14]
hiptrn | [14,8,2,6,13,22]
xbuifq | [4,1,7,21,1,25]
rckryw | [24,2,23,4,20,5]
sldxxm | [25,11,16,10,19,21]
pqwcpi | [22,16,9,15,11,17]
vzxede | [2,25,10,17,25,13]
vjrwjq | [2,9,4,9,5,25]
xfitak | [4,5,21,6,22,19]
fussdc | [12,20,5,5,25,11]
snsspz | [25,13,5,5,11,8]
lftygr | [18,5,6,11,2,26]
muwijt | [19,20,9,21,5,2]
iewylw | [15,4,9,11,7,5]
vgzojv | [2,6,12,1,5,4]
nupcvv | [20,20,2,15,17,4]
qaagvm | [23,26,13,19,17,21]
shtvox | [25,7,6,8,10,6]
tafzlx | [26,26,18,12,7,6]
yswyhn | [5,18,9,11,3,22]
pshhvm | [22,18,20,20,17,21]
tsuzyj | [26,18,7,12,20,18]
uaqbtn | [1,26,3,14,15,22]
cjuxuh | [9,9,7,10,16,16]
owtsva | [21,22,6,5,17,9]
ohmvyf | [21,7,25,8,20,14]
fhbvuf | [12,7,14,8,16,14]
xybomv | [4,24,14,1,8,4]
iqtklp | [15,16,6,23,7,24]
jdsuic | [16,3,5,7,4,11]
clgbqa | [9,11,19,14,12,9]
hsnryd | [14,18,26,4,20,12]
fqyogn | [12,16,11,1,2,22]
hbmyyo | [14,1,25,11,20,23]
smsdns | [25,12,5,16,9,1]
wvfwjd | [3,21,18,9,5,12]
rovtot | [24,14,8,6,10,2]
scqyts | [25,2,3,11,15,1]
xyxsms | [4,24,10,5,8,1]
uppayn | [1,15,2,13,20,22]
hkhdmc | [14,10,20,16,8,11]
tiifyh | [26,8,21,18,20,16]
fpyubp | [12,15,11,7,23,24]
pbnhzx | [22,1,26,20,21,6]
mmmzwk | [19,12,25,12,18,19]
cruerj | [9,17,7,17,13,18]
mvqasl | [19,21,3,13,14,20]
xlitbm | [4,11,21,6,23,21]
fqxmij | [12,16,10,25,4,18]
ddoyzi | [10,3,1,11,21,17]
tcqsau | [26,2,3,5,22,3]
miumnx | [19,8,7,25,9,6]
riieiv | [24,8,21,17,4,4]
tbives | [26,1,21,8,26,1]
qetrky | [23,4,6,4,6,7]
qzkjbw | [23,25,23,22,23,5]
xeveag | [4,4,8,17,22,15]
gskoea | [13,18,23,1,26,9]
vjkkby | [2,9,23,23,23,7]
wnweif | [3,13,9,17,4,14]
lyohcf | [18,24,1,20,24,14]
hkampt | [14,10,13,25,11,2]
enpfem | [11,13,2,18,26,21]
fhizyo | [12,7,21,12,20,23]
uzlbaz | [1,25,24,14,22,8]
cuepgx | [9,20,17,2,2,6]
egocuf | [11,6,1,15,16,14]
xheazh | [4,7,17,13,21,16]
mvnxzz | [19,21,26,10,21,8]
wtyvzj | [3,19,11,8,21,18]
krdmfm | [17,17,16,25,1,21]
pojrhe | [22,14,22,4,3,13]
oxwehg | [21,23,9,17,3,15]
beayfz | [8,4,13,11,1,8]
lwykzm | [18,22,11,23,21,21]
dyjkew | [10,24,22,23,26,5]
suuxgv | [25,20,7,10,2,4]
xnzxoh | [4,13,12,10,10,16]
yeguij | [5,4,19,7,4,18]
ivxmvx | [15,21,10,25,17,6]
mppxbt | [19,15,2,10,23,2]
rwtsdi | [24,22,6,5,25,17]
dqjjva | [10,16,22,22,17,9]
upavzh | [1,15,13,8,21,16]
zfsjtc | [6,5,5,22,15,11]
gwvbcr | [13,22,8,14,24,26]
vtqwvo | [2,19,3,9,17,23]
ywlycz | [5,22,24,11,24,8]
hdtrvh | [14,3,6,4,17,16]
ispgyv | [15,18,2,19,20,4]
jxznzc | [16,23,12,26,21,11]
fdxavb | [12,3,10,13,17,10]
qljbuj | [23,11,22,14,16,18]
wtoqny | [3,19,1,3,9,7]
eewsjn | [11,4,9,5,5,22]
aezyzr | [7,4,12,11,21,26]
jyuolc | [16,24,7,1,7,11]
guhrnp | [13,20,20,4,9,24]
culbrm | [9,20,24,14,13,21]
udjcoi | [1,3,22,15,10,17]
vlrfth | [2,11,4,18,15,16]
phnrqh | [22,7,26,4,12,16]
jecqdq | [16,4,15,3,25,25]
hfjhak | [14,5,22,20,22,19]
ckkuen | [9,10,23,7,26,22]
jcqfzw | [16,2,3,18,21,5]
cttptg | [9,19,6,2,15,15]
vjzpac | [2,9,12,2,22,11]
pvcwfl | [22,21,15,9,1,20]
smebmu | [25,12,17,14,8,3]
ozokow | [21,25,1,23,10,5]
eivxer | [11,8,8,10,26,26]
idjwie | [15,3,22,9,4,13]
zrfgbd | [6,17,18,19,23,12]
lqgwce | [18,16,19,9,24,13]
rebpjz | [24,4,14,2,5,8]
aqwzyc | [7,16,9,12,20,11]
uikoac | [1,8,23,1,22,11]
xfalni | [4,5,13,24,9,17]
wufiww | [3,20,18,21,18,5]
tknvdp | [26,10,26,8,25,24]
iwexyg | [15,22,17,10,20,15]
tgsdrf | [26,6,5,16,13,14]
ezyyfw | [11,25,11,11,1,5]
osprco | [21,18,2,4,24,23]
pndooi | [22,13,16,1,10,17]
jdbepb | [16,3,14,17,11,10]
qxgeff | [23,23,19,17,1,14]
cxqxuz | [9,23,3,10,16,8]
fylfgf | [12,24,24,18,2,14]
vgnqly | [2,6,26,3,7,7]
bwswwd | [8,22,5,9,18,12]
gfavgr | [13,5,13,8,2,26]
gtqciq | [13,19,3,15,4,25]
hhblex | [14,7,14,24,26,6]
ryleoc | [24,24,24,17,10,11]
fqmofc | [12,16,25,1,1,11]
ekibcq | [11,10,21,14,24,25]
zfrqna | [6,5,4,3,9,9]
aqfwlb | [7,16,18,9,7,10]
tvbiji | [26,21,14,21,5,17]
fmrkhe | [12,12,4,23,3,13]
cirjdp | [9,8,4,22,25,24]
skyddr | [25,10,11,16,25,26]
mfjpjf | [19,5,22,2,5,14]
mouagj | [19,14,7,13,2,18]
uxhags | [1,23,20,13,2,1]
kdudyj | [17,3,7,16,20,18]
sfhhko | [25,5,20,20,6,23]
fkdgir | [12,10,16,19,4,26]
ybkwsb | [5,1,23,9,14,10]
nilexn | [20,8,24,17,19,22]
vhjjhz | [2,7,22,22,3,8]
xocbgy | [4,14,15,14,2,7]
bwyxvu | [8,22,11,10,17,3]
ddvlhm | [10,3,8,24,3,21]
wzxcan | [3,25,10,15,22,22]
